latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
9.34908,77.92345,339.14,0.49,0.41,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,303.91,2.76,D
9.39126,77.83606,342.73,0.49,0.4,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,304.69,7.39,D
9.52307,78.33055,335.81,0.52,0.42,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,299.01,6.77,D
9.49893,77.64961,337.32,0.48,0.4,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,300.76,6.46,D
9.50262,77.64908,335.52,0.48,0.4,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,300.42,3.39,D
9.50631,77.64854,334.67,0.48,0.4,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,298.65,3.39,D
9.77024,78.26685,336.76,0.52,0.42,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,303.04,3.17,D
9.79812,78.32645,342.8,0.53,0.42,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,301.23,10.67,D
9.80198,78.3259,341.16,0.53,0.42,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,300.07,10.67,D
9.83753,77.86456,348.06,0.5,0.41,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,302.22,6.64,D
10.04642,78.67165,331.53,0.55,0.43,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,297.79,3.35,D
9.93874,77.87442,342.45,0.5,0.41,2026-07-18,0833,SNPP,SNPP,n,2.0NRT,301.85,5.85,D
22.92764,70.10865,344.68,0.39,0.36,2026-07-18,0835,SNPP,SNPP,n,2.0NRT,301.56,6.5,D
22.933,69.6968,337.45,0.39,0.36,2026-07-18,0835,SNPP,SNPP,l,2.0NRT,302.25,4.79,D
24.44377,71.60102,341.56,0.39,0.36,2026-07-18,0837,SNPP,SNPP,n,2.0NRT,298.67,4.85,D
25.39975,75.65563,344.12,0.38,0.43,2026-07-18,0837,SNPP,SNPP,n,2.0NRT,290.64,3.61,D
25.41038,73.01453,341.99,0.43,0.38,2026-07-18,0837,SNPP,SNPP,n,2.0NRT,301.91,10.01,D
27.36755,70.99345,342.01,0.39,0.36,2026-07-18,0837,SNPP,SNPP,n,2.0NRT,307.52,11.41,D
27.58292,72.23726,343.59,0.42,0.38,2026-07-18,0837,SNPP,SNPP,n,2.0NRT,305.27,8.48,D
30.61271,74.0872,337.05,0.55,0.42,2026-07-18,0837,SNPP,SNPP,n,2.0NRT,298.4,3.99,D
30.70196,74.20311,334.74,0.55,0.43,2026-07-18,0837,SNPP,SNPP,n,2.0NRT,298.39,3.94,D
30.92797,75.4001,331.91,0.43,0.46,2026-07-18,0837,SNPP,SNPP,n,2.0NRT,291.55,1.89,D
31.11067,75.27171,342.6,0.43,0.46,2026-07-18,0837,SNPP,SNPP,n,2.0NRT,295.79,6.23,D
22.36441,87.01776,308.06,0.36,0.57,2026-07-18,1923,SNPP,SNPP,n,2.0NRT,282.58,0.74,N
21.00098,86.00986,304.38,0.4,0.6,2026-07-18,1923,SNPP,SNPP,n,2.0NRT,284.17,0.72,N
20.97354,86.00267,304.94,0.4,0.6,2026-07-18,1923,SNPP,SNPP,n,2.0NRT,283.36,1.29,N
20.97202,86.01816,303.14,0.4,0.6,2026-07-18,1923,SNPP,SNPP,n,2.0NRT,283.41,1.01,N
20.96797,86.00209,304.68,0.4,0.6,2026-07-18,1923,SNPP,SNPP,n,2.0NRT,283.44,1.29,N
20.96721,86.00985,305.49,0.4,0.6,2026-07-18,1923,SNPP,SNPP,n,2.0NRT,283.77,1.82,N
20.96645,86.01759,305.22,0.4,0.6,2026-07-18,1923,SNPP,SNPP,n,2.0NRT,283.66,1.01,N
20.9634,86.04869,312.84,0.4,0.6,2026-07-18,1923,SNPP,SNPP,n,2.0NRT,283.88,0.94,N
20.96238,86.00161,303.89,0.4,0.6,2026-07-18,1923,SNPP,SNPP,n,2.0NRT,283.04,1.2,N
20.96202,86.00536,317.78,0.4,0.6,2026-07-18,1923,SNPP,SNPP,n,2.0NRT,283.63,1.2,N
20.95267,86.04355,315.77,0.4,0.6,2026-07-18,1923,SNPP,SNPP,n,2.0NRT,284.18,1.9,N
20.95229,86.04742,308.97,0.4,0.6,2026-07-18,1923,SNPP,SNPP,n,2.0NRT,283.97,1.2,N
20.94676,86.04662,305.98,0.4,0.6,2026-07-18,1923,SNPP,SNPP,n,2.0NRT,283.75,0.88,N
20.95964,85.17311,297.17,0.45,0.63,2026-07-18,1923,SNPP,SNPP,n,2.0NRT,279.1,1.34,N
19.10003,82.16237,302.63,0.67,0.74,2026-07-18,1923,SNPP,SNPP,n,2.0NRT,279.82,2.47,N
22.78067,86.20196,301.01,0.41,0.6,2026-07-18,1923,SNPP,SNPP,n,2.0NRT,274.92,1.31,N
22.78296,86.20487,297.92,0.41,0.6,2026-07-18,1923,SNPP,SNPP,n,2.0NRT,274,0.91,N
22.35911,87.0171,305.61,0.36,0.57,2026-07-18,1923,SNPP,SNPP,n,2.0NRT,282.23,0.74,N
22.05271,88.12284,304.75,0.6,0.53,2026-07-18,1923,SNPP,SNPP,n,2.0NRT,266.58,1.98,N
17.69101,83.23833,305.44,0.55,0.68,2026-07-18,1925,SNPP,SNPP,n,2.0NRT,278.58,0.82,N
26.87918,73.51339,308.98,0.39,0.36,2026-07-18,2104,SNPP,SNPP,n,2.0NRT,292.28,1.61,N
26.8752,73.51662,309.59,0.39,0.36,2026-07-18,2104,SNPP,SNPP,n,2.0NRT,292.33,1.61,N
22.79062,86.20197,298.78,0.73,0.76,2026-07-18,2104,SNPP,SNPP,n,2.0NRT,273.91,2.35,N
24.66183,74.63266,295.22,0.44,0.38,2026-07-18,2104,SNPP,SNPP,n,2.0NRT,272.29,0.52,N
24.8203,73.09184,295.64,0.39,0.37,2026-07-18,2104,SNPP,SNPP,n,2.0NRT,267.11,0.49,N
24.68869,73.00282,299.45,0.39,0.36,2026-07-18,2104,SNPP,SNPP,n,2.0NRT,277.85,0.63,N
23.3051,70.47562,307.71,0.39,0.36,2026-07-18,2104,SNPP,SNPP,n,2.0NRT,292.46,1.32,N
23.12092,70.08292,323.73,0.4,0.37,2026-07-18,2104,SNPP,SNPP,n,2.0NRT,293.47,4.04,N
22.92864,70.10606,311,0.39,0.37,2026-07-18,2104,SNPP,SNPP,n,2.0NRT,287.02,1.64,N
22.92603,69.82461,307.33,0.4,0.37,2026-07-18,2104,SNPP,SNPP,n,2.0NRT,293.26,2.83,N
22.33743,69.86547,304.24,0.4,0.37,2026-07-18,2104,SNPP,SNPP,n,2.0NRT,291.39,1.06,N
22.33686,69.8693,303.88,0.4,0.37,2026-07-18,2104,SNPP,SNPP,n,2.0NRT,291.69,1.06,N
